year,stock,capture,taxa,effort
1951,Acanthocybium_solandri,155,Acanthocybium_solandri,165533366.6
1951,Alopias_spp,32,Alopias_spp,165533366.6
1951,Arripis_trutta,2000,Arripis_trutta,165533366.6
1951,Auxis_rochei,1e-04,Auxis_rochei,165533366.6
1951,Auxis_thazard_A. rochei,969,Auxis_thazard_A. rochei,165533366.6
1951,Chirocentrus_spp,1600,Chirocentrus_spp,165533366.6
1951,Crustacea,500,Crustacea,165533366.6
1951,Epinephelinae,300,Epinephelinae,165533366.6
1951,Gymnocephalus_cernua,500,Gymnocephalus_cernua,165533366.6
1951,Istiompax_indica,44,Istiompax_indica,165533366.6
1951,Istiophorus_platypterus,173,Istiophorus_platypterus,165533366.6
1951,Lates_calcarifer,300,Lates_calcarifer,165533366.6
1951,Leiognathus_spp,500,Leiognathus_spp,165533366.6
1951,Lutjanidae,400,Lutjanidae,165533366.6
1951,Mollusca,400,Mollusca,165533366.6
1951,Muraenesox_spp,3000,Muraenesox_spp,165533366.6
1951,Pagrus_auratus,1000,Pagrus_auratus,165533366.6
1951,Pectinidae,300,Pectinidae,165533366.6
1951,Perciformes,5300,Perciformes,165533366.6
1951,Platycephalus,400,Platycephalus,165533366.6
1951,Pleuronectiformes,400,Pleuronectiformes,165533366.6
1951,Prionace_glauca,269,Prionace_glauca,165533366.6
1951,Rastrelliger_brachysoma,2200,Rastrelliger_brachysoma,165533366.6
1951,Sarda_orientalis,89,Sarda_orientalis,165533366.6
1951,Sardinella_gibbosa,800,Sardinella_gibbosa,165533366.6
1951,Scomberoides_spp,300,Scomberoides_spp,165533366.6
1951,Selaroides_leptolepis,1300,Selaroides_leptolepis,165533366.6
1951,Sillago_sihama,800,Sillago_sihama,165533366.6
1951,Tetrapturus_audax,6,Tetrapturus_audax,165533366.6
1951,Thunnus_obesus,30,Thunnus_obesus,165533366.6
1951,Thunnus_tonggol,116,Thunnus_tonggol,165533366.6
1951,Xiphia_ gladius,25,Xiphia_ gladius,165533366.6
1952,Acanthocybium_solandri,126,Acanthocybium_solandri,162564880.2
1952,Alopias_spp,35,Alopias_spp,162564880.2
1952,Arripis_trutta,2500,Arripis_trutta,162564880.2
1952,Auxis_rochei,1e-04,Auxis_rochei,162564880.2
1952,Auxis_thazard_A. rochei,1047,Auxis_thazard_A. rochei,162564880.2
1952,Chirocentrus_spp,2000,Chirocentrus_spp,162564880.2
1952,Crustacea,600,Crustacea,162564880.2
1952,Epinephelinae,200,Epinephelinae,162564880.2
1952,Gymnocephalus_cernua,500,Gymnocephalus_cernua,162564880.2
1952,Istiompax_indica,175,Istiompax_indica,162564880.2
1952,Istiophorus_platypterus,220,Istiophorus_platypterus,162564880.2
1952,Lates_calcarifer,300,Lates_calcarifer,162564880.2
1952,Leiognathus_spp,400,Leiognathus_spp,162564880.2
1952,Lutjanidae,500,Lutjanidae,162564880.2
1952,Mollusca,1500,Mollusca,162564880.2
1952,Muraenesox_spp,3000,Muraenesox_spp,162564880.2
1952,Pagrus_auratus,1000,Pagrus_auratus,162564880.2
1952,Pectinidae,300,Pectinidae,162564880.2
1952,Perciformes,6400,Perciformes,162564880.2
1952,Platycephalus,500,Platycephalus,162564880.2
1952,Pleuronectiformes,700,Pleuronectiformes,162564880.2
1952,Prionace_glauca,293,Prionace_glauca,162564880.2
1952,Rastrelliger_brachysoma,2500,Rastrelliger_brachysoma,162564880.2
1952,Sarda_orientalis,74,Sarda_orientalis,162564880.2
1952,Sardinella_gibbosa,900,Sardinella_gibbosa,162564880.2
1952,Scomberoides_spp,300,Scomberoides_spp,162564880.2
1952,Selaroides_leptolepis,1100,Selaroides_leptolepis,162564880.2
1952,Sillago_sihama,1000,Sillago_sihama,162564880.2
1952,Tetrapturus_audax,85,Tetrapturus_audax,162564880.2
1952,Thunnus_obesus,312,Thunnus_obesus,162564880.2
1952,Thunnus_tonggol,119,Thunnus_tonggol,162564880.2
1952,Xiphia_ gladius,35,Xiphia_ gladius,162564880.2
1953,Acanthocybium_solandri,97,Acanthocybium_solandri,199857053.1
1953,Alopias_spp,35,Alopias_spp,199857053.1
1953,Arripis_trutta,3000,Arripis_trutta,199857053.1
1953,Auxis_rochei,1e-04,Auxis_rochei,199857053.1
1953,Auxis_thazard_A. rochei,1061,Auxis_thazard_A. rochei,199857053.1
1953,Chirocentrus_spp,2000,Chirocentrus_spp,199857053.1
1953,Crustacea,700,Crustacea,199857053.1
1953,Epinephelinae,200,Epinephelinae,199857053.1
1953,Gymnocephalus_cernua,600,Gymnocephalus_cernua,199857053.1
1953,Istiompax_indica,530,Istiompax_indica,199857053.1
1953,Istiophorus_platypterus,320,Istiophorus_platypterus,199857053.1
1953,Lates_calcarifer,300,Lates_calcarifer,199857053.1
1953,Leiognathus_spp,300,Leiognathus_spp,199857053.1
1953,Lutjanidae,500,Lutjanidae,199857053.1
1953,Mollusca,2800,Mollusca,199857053.1
1953,Muraenesox_spp,4700,Muraenesox_spp,199857053.1
1953,Pagrus_auratus,1000,Pagrus_auratus,199857053.1
1953,Pectinidae,300,Pectinidae,199857053.1
1953,Perciformes,6500,Perciformes,199857053.1
1953,Platycephalus,700,Platycephalus,199857053.1
1953,Pleuronectiformes,500,Pleuronectiformes,199857053.1
1953,Prionace_glauca,297,Prionace_glauca,199857053.1
1953,Rastrelliger_brachysoma,2600,Rastrelliger_brachysoma,199857053.1
1953,Sarda_orientalis,58,Sarda_orientalis,199857053.1
1953,Sardinella_gibbosa,900,Sardinella_gibbosa,199857053.1
1953,Scomberoides_spp,200,Scomberoides_spp,199857053.1
1953,Selaroides_leptolepis,1200,Selaroides_leptolepis,199857053.1
1953,Sillago_sihama,800,Sillago_sihama,199857053.1
1953,Tetrapturus_audax,274,Tetrapturus_audax,199857053.1
1953,Thunnus_obesus,1686,Thunnus_obesus,199857053.1
1953,Thunnus_tonggol,119,Thunnus_tonggol,199857053.1
1953,Xiphia_ gladius,56,Xiphia_ gladius,199857053.1
1954,Acanthocybium_solandri,83,Acanthocybium_solandri,206451678.9
1954,Alopias_spp,44,Alopias_spp,206451678.9
1954,Arripis_trutta,4000,Arripis_trutta,206451678.9
1954,Auxis_rochei,1e-04,Auxis_rochei,206451678.9
1954,Auxis_thazard_A. rochei,1306,Auxis_thazard_A. rochei,206451678.9
1954,Chirocentrus_spp,3200,Chirocentrus_spp,206451678.9
1954,Crustacea,1200,Crustacea,206451678.9
1954,Epinephelinae,200,Epinephelinae,206451678.9
1954,Gymnocephalus_cernua,600,Gymnocephalus_cernua,206451678.9
1954,Istiompax_indica,809,Istiompax_indica,206451678.9
1954,Istiophorus_platypterus,482,Istiophorus_platypterus,206451678.9
1954,Lates_calcarifer,300,Lates_calcarifer,206451678.9
1954,Leiognathus_spp,300,Leiognathus_spp,206451678.9
1954,Lutjanidae,500,Lutjanidae,206451678.9
1954,Mollusca,400,Mollusca,206451678.9
1954,Muraenesox_spp,1800,Muraenesox_spp,206451678.9
1954,Pagrus_auratus,1000,Pagrus_auratus,206451678.9
1954,Pectinidae,1700,Pectinidae,206451678.9
1954,Perciformes,6400,Perciformes,206451678.9
1954,Platycephalus,500,Platycephalus,206451678.9
1954,Pleuronectiformes,300,Pleuronectiformes,206451678.9
1954,Prionace_glauca,367,Prionace_glauca,206451678.9
1954,Rastrelliger_brachysoma,2800,Rastrelliger_brachysoma,206451678.9
1954,Sarda_orientalis,60,Sarda_orientalis,206451678.9
1954,Sardinella_gibbosa,1000,Sardinella_gibbosa,206451678.9
1954,Scomberoides_spp,200,Scomberoides_spp,206451678.9
1954,Selaroides_leptolepis,1200,Selaroides_leptolepis,206451678.9
1954,Sillago_sihama,800,Sillago_sihama,206451678.9
1954,Tetrapturus_audax,659,Tetrapturus_audax,206451678.9
1954,Thunnus_obesus,6198,Thunnus_obesus,206451678.9
1954,Thunnus_tonggol,126,Thunnus_tonggol,206451678.9
1954,Xiphia_ gladius,168,Xiphia_ gladius,206451678.9
1955,Acanthocybium_solandri,69,Acanthocybium_solandri,182172825.9
1955,Alopias_spp,44,Alopias_spp,182172825.9
